Scheduled Payment,Price,Previous Date,Date,Next Date,Paid,Outstanding
Insurance Hastings,147.44,30/06/2025,30/07/2025,29/08/2025,游릭 Yes,0.0
EE broadband,40.99,29/06/2025,29/07/2025,28/08/2025,游릭 Yes,0.0
EE mobile,47.5,06/06/2025,06/07/2025,05/08/2025,游릭 Yes,0.0
EE S24,22.65,09/06/2025,09/07/2025,08/08/2025,游릭 Yes,0.0
Klarna google,12.5,29/06/2025,29/07/2025,28/08/2025,游릭 Yes,0.0
Barclay Ipad,45.75,04/06/2025,04/07/2025,03/08/2025,游릭 Yes,0.0
Barclays sharge battery bank,21.15,03/06/2025,03/07/2025,02/08/2025,游릭 Yes,0.0
Union dues,8.7,02/06/2025,02/07/2025,01/08/2025,游릭 Yes,0.0
Uniqlo,21.17,11/06/2025,11/07/2025,10/08/2025,游릭 Yes,0.0
Switch,66.66,30/06/2025,30/07/2025,29/08/2025,游릭 Yes,0.0
amnesty international,10.00,09/06/2025,09/07/2025,08/08/2025,游릭 Yes,0.0
